,year,month,day,Gcc,SW_IN_ERA,TA_ERA,TA_ERA_DAY,TA_ERA_NIGHT
0,2017.0,1.0,1.0,0.330020010471344,56.30937576293945,-0.21619915962219238,1.1035200357437134,-1.6299999952316284
1,2017.0,1.0,2.0,0.32975998520851135,88.9390640258789,-3.2636313438415527,1.6921700239181519,-5.875979900360107
2,2017.0,1.0,3.0,0.33009999990463257,50.41523742675781,0.3822879195213318,2.072629928588867,-2.034820079803467
3,2017.0,1.0,4.0,0.33048000931739807,27.922075271606445,1.28687584400177,3.4658000469207764,-0.22735999524593353
4,2017.0,1.0,5.0,0.32927998900413513,81.6561508178711,-1.556323766708374,5.190730094909668,-6.44625997543335
5,2017.0,1.0,6.0,0.32916000485420227,83.13780975341797,-4.492143154144287,-2.305850028991699,-6.242430210113525
6,2017.0,1.0,7.0,0.32927000522613525,71.39761352539062,-7.781538963317871,-2.205080032348633,-11.140560150146484
7,2017.0,1.0,8.0,0.32864999771118164,52.95611572265625,-10.217669486999512,-7.150539875030518,-15.739100456237793
8,2017.0,1.0,9.0,0.32840999960899353,77.75554656982422,-13.168021202087402,-7.830570220947266,-17.89413070678711
9,2017.0,1.0,10.0,0.32982000708580017,65.87047576904297,-11.721607208251953,-6.437099933624268,-13.925140380859375
10,2017.0,1.0,11.0,0.3297100067138672,75.78303527832031,1.9916421175003052,5.579899787902832,-4.44582986831665
11,2017.0,1.0,12.0,0.3321700096130371,84.87313842773438,5.317327976226807,10.7322998046875,1.9256000518798828
12,2017.0,1.0,13.0,0.3289400041103363,78.4450912475586,7.459781646728516,12.802300453186035,0.05795000120997429
13,2017.0,1.0,14.0,0.32829999923706055,111.8076400756836,-4.018034934997559,2.9847400188446045,-7.544300079345703
14,2017.0,1.0,15.0,0.3285500109195709,97.50495147705078,-4.139424800872803,-0.7632799744606018,-6.981750011444092
15,2017.0,1.0,16.0,0.3283100128173828,113.42683410644531,-5.180323600769043,1.112030029296875,-9.772279739379883
16,2017.0,1.0,17.0,0.32829999923706055,104.75175476074219,-2.054755926132202,3.0683600902557373,-6.158750057220459
17,2017.0,1.0,18.0,0.32791998982429504,57.64777374267578,0.9671808481216431,4.375999927520752,0.17162999510765076
18,2017.0,1.0,19.0,0.3302200138568878,51.67945861816406,-0.17375999689102173,2.860300064086914,-2.061199903488159
19,2017.0,1.0,20.0,0.32969000935554504,104.96791076660156,-0.5305295586585999,4.328800201416016,-3.941159963607788
20,2017.0,1.0,21.0,,88.61278533935547,1.1738054752349854,5.135769844055176,-1.0614999532699585
21,2017.0,1.0,22.0,,71.19232177734375,3.0128679275512695,8.04384994506836,0.9770799875259399
22,2017.0,1.0,23.0,,41.18840789794922,1.6750199794769287,6.122769832611084,-0.41833001375198364
23,2017.0,1.0,24.0,,21.612390518188477,0.19797666370868683,0.93572998046875,-0.19934000074863434
24,2017.0,1.0,25.0,,52.213356018066406,-1.003122091293335,0.4907799959182739,-3.5600600242614746
25,2017.0,1.0,26.0,,100.3767318725586,-0.4496254026889801,2.314500093460083,-3.058039903640747
26,2017.0,1.0,27.0,,109.1592025756836,1.4944204092025757,5.461850166320801,-0.24060000479221344
27,2017.0,1.0,28.0,,95.66300201416016,-0.5155653953552246,1.819700002670288,-1.977720022201538
28,2017.0,1.0,29.0,,81.98273468017578,-2.223149061203003,1.5342400074005127,-4.849430084228516
29,2017.0,1.0,30.0,0.3293899893760681,84.70184326171875,-2.871086597442627,2.174999952316284,-6.208620071411133
30,2017.0,1.0,31.0,0.32839998602867126,83.84123229980469,-7.320804119110107,-1.328279972076416,-12.273530006408691
31,2017.0,2.0,1.0,0.32916000485420227,60.232643127441406,-4.944180965423584,0.3689599931240082,-6.22042989730835
32,2017.0,2.0,2.0,0.32875001430511475,103.70683288574219,-2.312795400619507,2.087860107421875,-6.118100166320801
33,2017.0,2.0,3.0,0.3289400041103363,91.4041519165039,-5.316924095153809,1.3287700414657593,-9.88860034942627
34,2017.0,2.0,4.0,0.3286899924278259,103.45442199707031,-6.8950042724609375,-2.6125199794769287,-11.379759788513184
35,2017.0,2.0,5.0,0.32899001240730286,88.5457992553711,-6.2807135581970215,-1.8978999853134155,-9.0835599899292
36,2017.0,2.0,6.0,0.32886001467704773,104.9505615234375,-1.9319087266921997,1.4266400337219238,-6.819640159606934
37,2017.0,2.0,7.0,,100.66127014160156,-3.7777278423309326,-0.8773800134658813,-6.177299976348877
38,2017.0,2.0,8.0,0.3295600116252899,27.572439193725586,0.25364917516708374,2.1632399559020996,-0.7418000102043152
39,2017.0,2.0,9.0,0.33285000920295715,68.96729278564453,-1.3117963075637817,5.292049884796143,-4.948200225830078
40,2017.0,2.0,10.0,0.32826000452041626,71.77401733398438,-12.955880165100098,-5.372069835662842,-19.40386962890625
41,2017.0,2.0,11.0,0.3289400041103363,101.09575653076172,-10.1226224899292,-5.059269905090332,-13.17654037475586
42,2017.0,2.0,12.0,0.3309299945831299,42.681575775146484,-9.483463287353516,-4.009799957275391,-13.442299842834473
43,2017.0,2.0,13.0,0.3289799988269806,66.3540267944336,-2.6382203102111816,-0.6185299754142761,-5.432370185852051
44,2017.0,2.0,14.0,0.3287400007247925,136.78564453125,-8.021535873413086,-4.615719795227051,-14.494099617004395
45,2017.0,2.0,15.0,0.3298799991607666,128.11129760742188,-4.634095668792725,0.13854999840259552,-8.880860328674316
46,2017.0,2.0,16.0,0.3296700119972229,95.181884765625,-1.670609951019287,0.6640999913215637,-5.774839878082275
